date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:12	2295/2295	---M--	200	added ('OK')	image/jpeg	etag:W/%222295-1435643502000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2014%20trophy%20rkte%20133%20vs%20uncc%20105-30062015-125140.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2014%20trophy%20rkte%20133%20vs%20uncc%20105-30062015-125140.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:14	147252/147252	---M--	200	added ('OK')	image/jpeg	etag:W/%22147252-1435643500000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2014%20trophy%20rkte%20133%20vs%20uncc%20105-30062015-125140.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2014%20trophy%20rkte%20133%20vs%20uncc%20105-30062015-125140.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:14	180260/180260	---M--	200	added ('OK')	image/png	etag:W/%22180260-1435643431000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2015%20trophy%20pcck%20121%20vs%20mmch%20110-30062015-125030.png	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2015%20trophy%20pcck%20121%20vs%20mmch%20110-30062015-125030.png	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:15	2449/2449	---M--	200	added ('OK')	image/jpeg	etag:W/%222449-1435644042000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2019%20shield-2015%20nvcc%20173%20vs%20mpcc%20102-30062015-010037.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2019%20shield-2015%20nvcc%20173%20vs%20mpcc%20102-30062015-010037.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:16	2577/2577	---M--	200	added ('OK')	image/jpeg	etag:W/%222577-1435644043000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2020%20shield-2015%20mdcc%20145%20vs%20rhcc%20146-30062015-010038.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2020%20shield-2015%20mdcc%20145%20vs%20rhcc%20146-30062015-010038.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:18	182326/182326	---M--	200	added ('OK')	image/jpeg	etag:W/%22182326-1435643437000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2016%20trophy%20depc%20102%20vs%20ccou%20101-30062015-125034.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2016%20trophy%20depc%20102%20vs%20ccou%20101-30062015-125034.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:19	2389/2389	---M--	200	added ('OK')	image/jpeg	etag:W/%222389-1435644044000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2022%20shield%202015%20ggre%20114%20vs%20wacc%20115-30062015-010039.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2022%20shield%202015%20ggre%20114%20vs%20wacc%20115-30062015-010039.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:26	86564/86564	---M--	200	added ('OK')	image/jpeg	etag:W/%2286564-1435644037000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2019%20shield-2015%20nvcc%20173%20vs%20mpcc%20102-30062015-010037.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2019%20shield-2015%20nvcc%20173%20vs%20mpcc%20102-30062015-010037.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:26	2390/2390	---M--	200	added ('OK')	image/jpeg	etag:W/%222390-1435644046000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2021%20shield%202015%20dskw%20gave%20a%20walkover%20against%20chcc-30062015-010038.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2021%20shield%202015%20dskw%20gave%20a%20walkover%20against%20chcc-30062015-010038.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:28	86547/86547	---M--	200	added ('OK')	image/jpeg	etag:W/%2286547-1435644038000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2020%20shield-2015%20mdcc%20145%20vs%20rhcc%20146-30062015-010038.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2020%20shield-2015%20mdcc%20145%20vs%20rhcc%20146-30062015-010038.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:29	2254/2254	---M--	200	added ('OK')	image/jpeg	etag:W/%222254-1437025254000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2021%20trophy%20gtcc%20143%20vs%20depc%20125-16072015-124052.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2021%20trophy%20gtcc%20143%20vs%20depc%20125-16072015-124052.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:29	87441/87441	---M--	200	added ('OK')	image/jpeg	etag:W/%2287441-1435644040000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2022%20shield%202015%20ggre%20114%20vs%20wacc%20115-30062015-010039.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2022%20shield%202015%20ggre%20114%20vs%20wacc%20115-30062015-010039.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:30	2534/2534	---M--	200	added ('OK')	image/jpeg	etag:W/%222534-1436585369000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2022%20shield-2015%20gpan%20134%20vs%20trce%2084-10072015-102927.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2022%20shield-2015%20gpan%20134%20vs%20trce%2084-10072015-102927.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:43	147909/147909	---M--	200	added ('OK')	image/jpeg	etag:W/%22147909-1435644039000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2021%20shield%202015%20dskw%20gave%20a%20walkover%20against%20chcc-30062015-010038.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2021%20shield%202015%20dskw%20gave%20a%20walkover%20against%20chcc-30062015-010038.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
